Date,BTC High,Positive,#Pos/#Neg,"BTC High / $10,000",Date Import,Negative w/0,Negative,Positive w/0,Positive
6/2/2021,38231.33984,1063,4.026515152,3.823133984,6/2/2021,0,264,0,1063
6/3/2021,39478.95313,1063,4.026515152,3.947895313,6/3/2021,0,264,0,1063
6/4/2021,39242.48438,1063,4.026515152,3.924248438,6/4/2021,0,264,0,1063
6/5/2021,37917.71484,1063,4.026515152,3.791771484,6/5/2021,0,264,0,1063
6/6/2021,36436.42188,1063,4.026515152,3.643642188,6/6/2021,0,264,0,1063
6/7/2021,36790.57031,1063,4.026515152,3.679057031,6/7/2021,0,264,0,1063
6/8/2021,34017.38672,1063,4.026515152,3.401738672,6/8/2021,0,264,0,1063
6/9/2021,37537.37109,1063,4.026515152,3.753737109,6/9/2021,0,264,0,1063
6/10/2021,38334.32422,1063,4.026515152,3.833432422,6/10/2021,0,264,0,1063
6/11/2021,37608.69531,1063,4.026515152,3.760869531,6/11/2021,0,264,0,1063
6/12/2021,37408.92578,1063,4.026515152,3.740892578,6/12/2021,0,264,0,1063
6/13/2021,39322.78125,1063,4.026515152,3.932278125,6/13/2021,0,264,0,1063
6/14/2021,40978.36328,1063,4.026515152,4.097836328,6/14/2021,0,264,0,1063
6/15/2021,41295.26953,1063,4.026515152,4.129526953,6/15/2021,0,264,0,1063
6/16/2021,40516.77734,1063,4.026515152,4.051677734,6/16/2021,0,264,0,1063
6/17/2021,39513.67188,1063,4.026515152,3.951367188,6/17/2021,0,264,0,1063
6/18/2021,38187.26172,1063,4.026515152,3.818726172,6/18/2021,0,264,0,1063
6/19/2021,36457.79688,1063,4.026515152,3.645779688,6/19/2021,0,264,0,1063
6/20/2021,36059.48438,1063,4.026515152,3.605948438,6/20/2021,264,264,1063,1063
6/21/2021,35721.64063,4621,2.857761286,3.572164063,6/21/2021,1617,1617,4621,4621
6/22/2021,33292.45313,4970,2.476332835,3.329245313,6/22/2021,2007,2007,4970,4970
6/23/2021,34753.41016,3241,2.59903769,3.475341016,6/23/2021,1247,1247,3241,3241
6/24/2021,35228.85156,3241,2.59903769,3.522885156,6/24/2021,0,1247,0,3241
6/25/2021,35487.24609,3241,2.59903769,3.548724609,6/25/2021,0,1247,0,3241
6/26/2021,32637.58789,3241,2.59903769,3.263758789,6/26/2021,0,1247,0,3241
6/27/2021,34656.12891,3241,2.59903769,3.465612891,6/27/2021,0,1247,0,3241
6/28/2021,35219.89063,3241,2.59903769,3.521989063,6/28/2021,0,1247,0,3241
6/29/2021,36542.10938,3241,2.59903769,3.654210938,6/29/2021,0,1247,0,3241
6/30/2021,36074.75781,3241,2.59903769,3.607475781,6/30/2021,0,1247,0,3241
7/1/2021,35035.98438,3241,2.59903769,3.503598438,7/1/2021,0,1247,0,3241
7/2/2021,33939.58984,2029,3.603907638,3.393958984,7/2/2021,563,563,2029,2029
7/3/2021,34909.26172,3205,4.457579972,3.490926172,7/3/2021,719,719,3205,3205
7/4/2021,35937.56641,2721,4.69137931,3.593756641,7/4/2021,580,580,2721,2721
7/5/2021,35284.34375,3150,4.906542056,3.528434375,7/5/2021,642,642,3150,3150
7/6/2021,35038.53516,3150,4.906542056,3.503853516,7/6/2021,0,642,0,3150
7/7/2021,34997.66406,3150,4.906542056,3.499766406,7/7/2021,0,642,0,3150
7/8/2021,33907.90625,3150,4.906542056,3.390790625,7/8/2021,0,642,0,3150
7/9/2021,34042.29297,3150,4.906542056,3.404229297,7/9/2021,0,642,0,3150
7/10/2021,34209.07031,3150,4.906542056,3.420907031,7/10/2021,0,642,0,3150
7/11/2021,34584.70313,3150,4.906542056,3.458470313,7/11/2021,0,642,0,3150
7/12/2021,34592.15625,3150,4.906542056,3.459215625,7/12/2021,0,642,0,3150
7/13/2021,33327.10156,3150,4.906542056,3.332710156,7/13/2021,0,642,0,3150
7/14/2021,33061.39844,3150,4.906542056,3.306139844,7/14/2021,0,642,0,3150
7/15/2021,33159.64063,3150,4.906542056,3.315964063,7/15/2021,0,642,0,3150
7/16/2021,32218.40625,110,2.75,3.221840625,7/16/2021,40,40,110,110
7/17/2021,31935.94531,1728,3.555555556,3.193594531,7/17/2021,486,486,1728,1728
7/18/2021,32398.99609,3383,5.118003026,3.239899609,7/18/2021,661,661,3383,3383
7/19/2021,31885.85938,3503,3.95819209,3.188585938,7/19/2021,885,885,3503,3503
7/20/2021,31006.1875,3353,2.64640884,3.10061875,7/20/2021,1267,1267,3353,3353
7/21/2021,32752.32617,4505,3.924216028,3.275232617,7/21/2021,1148,1148,4505,4505
7/22/2021,32576.40039,3721,4.48854041,3.257640039,7/22/2021,829,829,3721,3721
7/23/2021,33581.55078,5132,4.565836299,3.358155078,7/23/2021,1124,1124,5132,5132
7/24/2021,34490.39063,3946,4.389321468,3.449039063,7/24/2021,899,899,3946,3946
7/25/2021,35364.92578,1468,4.909698997,3.536492578,7/25/2021,299,299,1468,1468
7/26/2021,40499.67578,3655,4.912634409,4.049967578,7/26/2021,744,744,3655,3655
7/27/2021,39406.94141,1685,3.752783964,3.940694141,7/27/2021,449,449,1685,1685
7/28/2021,40816.07031,1888,3.746031746,4.081607031,7/28/2021,504,504,1888,1888
7/29/2021,40593.07031,2633,5.674568966,4.059307031,7/29/2021,464,464,2633,2633
7/30/2021,42235.54688,4522,3.908383751,4.223554688,7/30/2021,1157,1157,4522,4522
7/31/2021,42231.44922,4522,3.908383751,4.223144922,7/31/2021,0,1157,0,4522
8/1/2021,42541.67969,4522,3.908383751,4.254167969,8/1/2021,0,1157,0,4522
8/2/2021,40419.17969,4522,3.908383751,4.041917969,8/2/2021,0,1157,0,4522
8/3/2021,39750.03125,4522,3.908383751,3.975003125,8/3/2021,0,1157,0,4522
8/4/2021,39952.29688,204,3.044776119,3.995229688,8/4/2021,67,67,204,204
8/5/2021,41341.93359,1581,4.106493506,4.134193359,8/5/2021,385,385,1581,1581
8/6/2021,43271.66016,1956,3.690566038,4.327166016,8/6/2021,530,530,1956,1956
8/7/2021,44689.85938,1680,5.169230769,4.468985938,8/7/2021,325,325,1680,1680
8/8/2021,45282.35156,4294,5.307787392,4.528235156,8/8/2021,809,809,4294,4294
8/9/2021,46456.83203,6827,4.612837838,4.645683203,8/9/2021,1480,1480,6827,6827
8/10/2021,46637.98828,6827,4.612837838,4.663798828,8/10/2021,0,1480,0,6827
8/11/2021,46735.63281,6827,4.612837838,4.673563281,8/11/2021,0,1480,0,6827
8/12/2021,46228.91016,6827,4.612837838,4.622891016,8/12/2021,0,1480,0,6827
8/13/2021,47831.97656,6827,4.612837838,4.783197656,8/13/2021,0,1480,0,6827
8/14/2021,48098.68359,1683,5.325949367,4.809868359,8/14/2021,316,316,1683,1683
8/15/2021,47357.10547,3761,4.509592326,4.735710547,8/15/2021,834,834,3761,3761
8/16/2021,47998.09766,4123,5.109045849,4.799809766,8/16/2021,807,807,4123,4123
8/17/2021,47139.57031,4529,5.088764045,4.713957031,8/17/2021,890,890,4529,4529
8/18/2021,45952.0625,4842,5.309210526,4.59520625,8/18/2021,912,912,4842,4842
8/19/2021,46970.76172,4005,4.256110521,4.697076172,8/19/2021,941,941,4005,4005
8/20/2021,49342.15234,4719,4.920750782,4.934215234,8/20/2021,959,959,4719,4719
8/21/2021,49717.01953,1317,5.289156627,4.971701953,8/21/2021,249,249,1317,1317
8/22/2021,49471.60938,1317,5.289156627,4.947160938,8/22/2021,0,249,0,1317
8/23/2021,50482.07813,1222,4.213793103,5.048207813,8/23/2021,290,290,1222,1222
